date,AAPL,AMZN,GOOG,META,MSFT,NVDA,UNH
2023-03-31,163.437288268,103.29,103.7436225694,211.3059465064,284.3774441377,27.7624037012,461.7805076942
2023-04-03,164.6960229927,102.41,104.6513792669,212.4325659249,283.3220023575,27.9503049106,482.88645358
2023-04-04,164.1608129523,103.95,104.8608615817,214.0776296775,283.2726826482,27.4385739571,481.9679540832
2023-04-05,162.3074004049,101.1,104.6912806602,210.8473226723,280.4713231569,26.8668745325,497.5824455302
2023-04-06,163.199417139,102.06,108.6315432482,215.4535011797,287.6325449551,27.0227925574,501.0805606353
2023-04-10,160.5927460162,102.17,106.686350325,214.1075399275,285.4526138017,27.5645077465,503.39635192
2023-04-11,159.3736564797,99.92,105.8583964141,213.2102324261,278.9818679344,27.1547231939,509.05391797
2023-04-12,158.6798656866,97.83,104.9606150649,213.3597836763,279.6328880978,26.4810773684,509.2688859374
2023-04-13,164.091433873,102.4,107.9232935172,219.6907866032,285.8964911859,26.4490941838,514.193606644
2023-04-14,163.7445384764,102.51,109.1901627543,220.827376105,282.2468326936,26.7439391668,500.0838909685
2023-04-17,163.7643610705,102.74,106.1576568638,218.2052441841,284.8706412313,26.9878109493,493.7911922877
2023-04-18,164.9933619041,102.3,104.8608615817,217.2381460993,284.4464917308,27.6524615041,492.9410916895
2023-04-19,166.1430723613,104.3,104.7611080985,215.0546978457,284.5254032658,27.916322777,475.0792078565
2023-04-20,165.1717652509,103.81,105.638938751,212.4325659249,282.217240868,27.0897573502,476.3103880332
2023-04-21,163.5562238326,106.96,105.6489140993,212.2531044246,281.8720029025,27.104749468,472.7536453006
2023-04-24,163.863474041,106.21,106.5167694035,212.1534035911,277.936290096,27.02778993,477.7565361772
2023-04-25,162.317311702,102.57,104.3521188172,206.929079916,271.672687008,26.2272108407,480.6683750078
2023-04-26,162.3074004049,104.98,104.192513244,208.7735453356,291.3512510405,26.9418351214,471.9035447024
2023-04-27,166.9161535307,109.82,108.102849787,237.8463083824,300.6825400503,27.2116932414,479.2515406775
2023-04-28,168.1748882554,105.45,107.9532195621,239.6010430519,303.0794779249,27.7344184146,480.8344866189
2023-05-01,168.085686582,102.05,107.4444767976,242.4524868898,301.4026078069,28.8948083306,484.3619155378
2023-05-02,167.0450003923,103.63,105.7187415376,238.5242740501,301.2546486788,28.1951761677,482.1047518806
2023-05-03,165.9646690145,103.65,105.8583964141,236.3208856299,300.2583905499,27.7873905641,478.2450997394
2023-05-04,164.319393705,104.0,104.9506397166,232.8213863743,301.2546486788,27.5475166797,476.1345051508
2023-05-05,172.0303828058,105.655,105.9531622232,232.0836002065,306.4233542192,28.6649291914,482.9743950212
2023-05-08,171.9610037265,105.83,107.9731702588,232.5721342906,304.450565845,29.1356816896,481.3523639948
2023-05-09,170.2463493378,106.62,107.6739098091,232.6718351241,302.8230154363,28.5559864689,479.1635992363
