date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2022-12-20,131.0712660005,85.19,52.6208618521,302.0,89.4090470279,123.962902952,354.4450507588,116.7397059377,238.3876958963,16.0737867602,143.1641857113,137.8,506.4958252586,202.5762876169,100.5666893852
2022-12-21,134.192010429,86.77,54.2855157848,307.82,90.0275186239,125.3572366221,362.6941472855,119.401718192,240.9805810915,16.4894967567,144.4772694298,137.57,513.6325861804,204.0066324603,101.8580603146
2022-12-22,131.0019161243,83.79,53.4981663942,302.69,88.0424243075,123.9344471629,360.0331484059,116.7696161877,234.8286405523,15.3283068148,144.8102979091,125.35,513.1944494254,202.280354201,99.8031781058
2022-12-23,130.635352493,85.25,53.4343272545,306.49,89.5886032977,124.5225334727,362.58573622,117.6868638559,235.361020022,15.1953995323,145.2194471837,123.15,517.3031985509,203.0399166351,102.4424763557
2022-12-27,128.8223485868,83.04,53.5416930805,305.55,87.7132378128,124.9588555735,359.6093596955,116.5303341873,233.6159984267,14.1111559118,146.4849554051,109.1,517.9652718697,203.4936812062,103.8658121975
2022-12-28,124.869405644,81.82,52.7050134455,303.43,86.2468616092,125.6417945139,359.9444484433,115.2741036853,231.2202908129,14.0262151673,144.5914506227,112.71,514.518596063,202.2113030707,102.1596944003
2022-12-29,128.4062493297,84.18,53.9547129696,309.06,88.7307233418,126.3626745066,361.7184476963,119.9002223594,237.6088444498,14.592819898,145.1909018855,121.82,515.9108973069,205.2396883598,102.9326317449
2022-12-30,128.7232773351,84.0,54.0823912492,308.9,88.5112656787,127.197377656,360.5554926304,119.9799830262,236.4356378406,14.6038122297,144.2108466463,123.18,516.202988477,204.943754944,103.9694989145
2023-01-03,123.9084145025,85.82,53.5358895223,309.91,89.4788744661,128.1648744883,359.7177707609,124.3668196999,236.1990247429,14.3050206697,144.2203617457,108.1,504.967214802,204.5787703977,100.397020212
2023-01-04,125.1864336494,85.14,54.1897570752,314.55,88.491314982,129.3600176341,357.8550715452,126.9889516208,225.8669194782,14.7387181179,144.8483583067,113.64,491.1999843197,209.728011834,100.6892282325
2023-01-05,123.8588788766,83.12,53.6848475151,312.9,86.5560974072,129.3315618449,353.7354510576,126.5602380368,219.1727405902,14.2550555259,143.0500045184,110.34,477.0432989441,208.2483447546,102.9420578101
