date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2024-04-19,164.4047117173,174.63,119.6961549523,405.08,155.3361241011,183.6754733097,722.8424831842,480.1431929101,397.7052756567,76.1846496023,156.2796385841,147.05,497.2157792101,268.2308923636,117.0150524008
2024-04-22,165.2416811588,177.23,121.6584521527,408.78,157.5606267773,187.244194831,727.838516924,480.8019213848,399.5387535761,79.5019811952,158.6514049468,142.05,487.3931060231,270.7662499718,117.6788014468
2024-04-23,166.2978568826,179.54,124.1155463181,408.74,159.5257703971,189.9429786961,742.1299600523,495.1442368111,406.1253237107,82.4063959865,159.6001114919,144.68,482.3825505085,272.5360290081,118.1375691698
2024-04-24,168.4102083301,176.59,124.8736388568,405.95,160.7028614994,190.8722302833,728.7043634088,492.5492458501,407.6100422432,79.6609491649,160.6871710748,162.13,483.4938024246,273.4408036839,118.1570912006
2024-04-25,169.2770695373,173.67,128.6094552991,404.91,157.5606267773,191.1589142837,721.4093579679,440.5296578183,397.6255592254,82.6153538837,160.6377592756,170.18,490.0025636475,273.5799997879,118.4303996313
2024-04-26,168.6891981439,179.62,133.5425214257,402.1,173.2618250393,191.2775421459,730.0081092652,442.4359781011,404.8797544719,87.7173258905,159.3925819351,168.29,491.4809255716,272.9436747411,115.1409374475
2024-04-29,172.8740453513,180.96,133.0010267552,400.96,167.4860983597,191.069943387,733.6804926317,431.7865344269,400.8241810305,87.7393214587,159.7582292494,194.05,485.2102897593,270.2790636079,116.7807880317
2024-04-30,169.7154821019,175.0,129.1906926977,396.73,164.234134806,189.5475524888,777.3709072092,429.341254483,387.9499773788,86.3845944218,161.2801126655,183.28,479.9219212658,267.0676106375,115.4435289243
2024-05-01,168.6891981439,179.0,123.4866176458,398.58,165.1618422002,189.666180351,773.0416747853,438.3438769705,393.5400921223,83.0242714912,161.4777598624,179.99,480.3287188422,265.7850179652,113.2570614787
2024-05-02,172.4057410209,184.72,123.0603768868,400.6,168.0447178658,189.4684672473,752.301168184,440.8290798523,396.4298127562,85.7997122693,161.9125836955,180.01,489.1195152499,266.073352752,113.4620428018
2024-05-03,182.7184002105,186.21,126.9889455604,400.87,168.573411327,188.3316169012,731.4611389983,451.0892748823,405.2185493048,88.7711135635,162.5252900059,181.19,488.6035768603,266.9482996913,113.2277784326
2024-05-06,181.0544252494,188.7,130.1882351732,404.92,169.4113405862,189.8045795235,763.0197505303,464.7828425684,412.0741623949,92.1214385086,162.5055252862,184.76,490.5185020371,271.1042976529,113.9598545862
2024-05-07,181.7419358621,188.76,129.4728660673,406.14,172.5535753082,189.5574381439,774.0568051468,467.3379105914,407.8890497527,90.5357580064,163.8099967857,177.81,497.0471070442,274.8725350391,113.3937156941
